id,created_at,updated_at,symbol,name,market,exchange,instrument_type,trading_currency,lot_size,tick_size,tradable,is_high_dividend,status,data_source,notes
122,2026-03-08 11:48:23.706731+00:00,2026-03-08 11:48:23.706734+00:00,920599,同力股份,CN,SSE,股票,CNY,1,,True,True,启用,dividend-universe:000922,
8,2026-03-07 16:18:27.165607+00:00,2026-03-07 16:48:07.425929+00:00,932000,中证2000,CN,SSE,指数,CNY,1,,True,False,启用,market-config,CSI_2000
20,2026-03-07 16:31:46.436982+00:00,2026-03-07 16:31:46.436992+00:00,0981,中芯国际,HK,HKEX,股票,HKD,1,,True,False,启用,position-init-csv,strategy_tag=manual-main
22,2026-03-07 16:31:46.442626+00:00,2026-03-07 16:31:46.442631+00:00,1919,中远海控H,HK,HKEX,股票,HKD,1,,True,False,启用,position-init-csv,strategy_tag=manual-main
21,2026-03-07 16:31:46.439914+00:00,2026-03-07 16:31:46.439921+00:00,3968,招商银行H,HK,HKEX,股票,HKD,1,,True,False,启用,position-init-csv,strategy_tag=manual-main
19,2026-03-07 16:31:46.433782+00:00,2026-03-07 16:31:46.433786+00:00,9988,阿里巴巴-W,HK,HKEX,股票,HKD,1,,True,False,启用,position-init-csv,strategy_tag=manual-main
6,2026-03-07 16:18:27.164717+00:00,2026-03-07 16:48:07.425029+00:00,HSTECH,恒生科技指数,HK,HKEX,指数,HKD,1,,True,False,启用,market-config,HSTECH
10,2026-03-07 16:18:27.166442+00:00,2026-03-07 16:48:07.427506+00:00,CN10Y,中国国债十年期,MACRO,OTC,利率,CNY,1,,False,False,启用,market-config,CN10Y
24,2026-03-07 16:48:07.426893+00:00,2026-03-07 16:48:07.426901+00:00,HKDCNH,港币兑人民币,MACRO,OTC,外汇,CNY,1,,False,False,启用,market-config,HKDCNH
9,2026-03-07 16:18:27.166024+00:00,2026-03-07 16:48:07.426340+00:00,USDCNH,离岸人民币汇率,MACRO,OTC,外汇,CNH,1,,False,False,启用,market-config,USDCNH
